id,libdep,circo,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,actemp,actcho,inactret,age_moyen,libelle_commune,total_voix_par_ville,catégorie,nom,voix,pourcentage_voix,code_insee,insecurite,taux_chomage_moyen
31215,Oise,60005,12.4,25.6,28.1,25.6,8.3,41.5,6.0,20.3,39.7,Trosly-Breuil,1453,Petite moyenne ville,ARTHAUD,10,0.6882312456985548,60647,6.78623364032962,7.375
31216,Oise,60005,12.4,25.6,28.1,25.6,8.3,41.5,6.0,20.3,39.7,Trosly-Breuil,1453,Petite moyenne ville,ROUSSEL,24,1.6517549896765313,60647,6.78623364032962,7.375
31217,Oise,60005,12.4,25.6,28.1,25.6,8.3,41.5,6.0,20.3,39.7,Trosly-Breuil,1453,Petite moyenne ville,MACRON,272,18.719889883000686,60647,6.78623364032962,7.375
31218,Oise,60005,12.4,25.6,28.1,25.6,8.3,41.5,6.0,20.3,39.7,Trosly-Breuil,1453,Petite moyenne ville,LASSALLE,32,2.202339986235375,60647,6.78623364032962,7.375
31219,Oise,60005,12.4,25.6,28.1,25.6,8.3,41.5,6.0,20.3,39.7,Trosly-Breuil,1453,Petite moyenne ville,LE PEN,316,21.74810736407433,60647,6.78623364032962,7.375
31220,Oise,60005,12.4,25.6,28.1,25.6,8.3,41.5,6.0,20.3,39.7,Trosly-Breuil,1453,Petite moyenne ville,ZEMMOUR,101,6.951135581555403,60647,6.78623364032962,7.375
31221,Oise,60005,12.4,25.6,28.1,25.6,8.3,41.5,6.0,20.3,39.7,Trosly-Breuil,1453,Petite moyenne ville,MÉLENCHON,171,11.768754301445286,60647,6.78623364032962,7.375
31222,Oise,60005,12.4,25.6,28.1,25.6,8.3,41.5,6.0,20.3,39.7,Trosly-Breuil,1453,Petite moyenne ville,HIDALGO,18,1.2388162422573985,60647,6.78623364032962,7.375
31223,Oise,60005,12.4,25.6,28.1,25.6,8.3,41.5,6.0,20.3,39.7,Trosly-Breuil,1453,Petite moyenne ville,JADOT,50,3.4411562284927735,60647,6.78623364032962,7.375
31224,Oise,60005,12.4,25.6,28.1,25.6,8.3,41.5,6.0,20.3,39.7,Trosly-Breuil,1453,Petite moyenne ville,PÉCRESSE,62,4.267033723331039,60647,6.78623364032962,7.375
31225,Oise,60005,12.4,25.6,28.1,25.6,8.3,41.5,6.0,20.3,39.7,Trosly-Breuil,1453,Petite moyenne ville,POUTOU,11,0.7570543702684102,60647,6.78623364032962,7.375
